"Software","License","Version CRAN","Version R-Forge","URL","Comment"
"ActivePerl","ActivePerl Community License v2.2",NA,5.10.0.1002,"http://www.activestate.com/activeperl/","provides perl"
"Apache-ant","Apache Licence 2.0",NA,1.7.1,"http://ant.apache.org/","Java make pendant"
"cwRsyncServer",NA,NA,3.1.0,"http://www.itefix.no/i2/node/10650/","rsync for Windows"
"cygwin","CYGWIN License",NA,1.5.25-15,"http://www.cygwin.com/","Version corresponds to the latest cygwin DLL"
"FWTools",NA,NA,2.2.8,"http://fwtools.maptools.org/","Open source GIS binary kit for Windows and Linux: provides among others proj and GDAL"
"fftw","GPL-2",3.1.,3.2.2,"http://www.fftw.org/install/windows.html","C subroutine library for computing the discrete Fourier transform"
"ggobi","Common Public License",2.1.7,2.1.8,"http://www.ggobi.org/downloads/","Open source visualization program for exploring high-dimensional data"
"graphviz","GPL",2.21,2.25,"http://www.graphviz.org/Download_windows.php","Graph Visualization Software"
"gs","GPL",NA,8.64,"http://pages.cs.wisc.edu/~ghost/","GPL Ghostscript"
"gsl","GPL",1.12,NA,"http://www.gnu.org/software/gsl/","GNU Scientific Library"
"gtk","LGPL",NA,2.16.4,"http://www.gtk.org/download-windows.html","gtk+ Framework"
"htmlhelp","Microsoft EULA",NA,4.74.8702.0,"http://msdn.microsoft.com/en-us/library/ms669985(VS.85).aspx","HTML Help Workshop"
"ImageMagick","ImageMagick License",6.4.3,6.5.4,"http://www.imagemagick.org/script/binary-releases.php","portable Win32 static at 16 bits-per-pixel"
"Java","SUN",NA,1.6-10,"http://java.sun.com/","Java 6 Software Development Kit"
"miktex",NA,NA,2.7,"http://miktex.org/","Full LaTeX installation"
"PostgreSQL","BSD",8.3,8.4.0-1,"http://www.postgresql.org/download/windows","PostgreSQL binaries"
"qt","LGPL",NA,4.5.2,"http://www.qtsoftware.com/downloads","qt framework"
"Rtools","GPL-2",NA,2.9,"http://www.murdoch-sutherland.com/Rtools/","GNU Compilers, linkers, etc."
